TipoOp,ConsOP,Actividad,Descripcion Actividad,Version,Comentario,Proceso
FBREP,486,CARB,CARBURIZAR,1,"CARBURIZAR A 930°C POR 4 HORAS
DEJAR ENFRIAR EN HORNO CONTROLADO HASTA 600°C",30586248A5
FBREP,415,MECA5,MECANIZAR5,1,"FRESAR AGUJEROS POR EL LADO ADITAMENTO
AVELLANAR",30392656D
FBREP,476,MECA5,MECANIZAR5,2,"MECANIZAR LADO PASO:
FRESAR AGUJERO
AVELLANAR
",30607413C
FBREP,414,MECA5,MECANIZAR5,1,"FRESAR AGUJEROS POR EL LADO ADITAMENTO
AVELLANAR",30392656C
FBREP,334,BROCH,BROCHAR,3,"AGUJERO SEMIREDONDO



",54987-1B
FBREP,343,BROCH,BROCHAR,1,AGUJERO SEMIREDONDO,54987-1K
FBREP,335,BROCH,BROCHAR,3,AGUJERO SEMIREDONDO,54987-1C
FBREP,330,BROCH,BROCHAR,4,"- BROCAHAR SEMI-REDONDO.
- ELIMINAR RADIOS.
",1000151929
FBREP,338,BROCH,BROCHAR,3,AGUJERO SEMIREDONDO,54987-1F
FBREP,337,BROCH,BROCHAR,3,AGUJERO SEMIREDONDO,54987-1E
FBREP,329,BROCH,BROCHAR,4,"- BROCHAR SEMI-REDONDO.
- ELIMINAR RADIOS.",1000151928
FBREP,342,BROCH,BROCHAR,1,AGUJERO SEMIREDONDO,54987-1J
FBREP,248,CORT4,CORTAR4,2,CORTAR CONTORNO EXTERIOR,PD01923C
FBREP,250,CORT4,CORTAR4,2,"
CORTAR CONTORNO EXTERIOR SOBREDIMENSIONADO 

-VERIFICAR DUREZA",PD01923E
FBREP,249,CORT4,CORTAR4,2,CORTAR CONTORNO CON DIMENSIONES FINALES ,PD01923D
FBREP,476,DOBL90,DOBLAR 90°,2,"•DOBLAR A 90°
•TROQUEL:403B SOBRE PLANCHAS

NOTA:SE DEBE GARANTIZAR ESCUADRA Y PLANITUD.",30607413C
FBREP,128,ESME1/PULI4,PULIR,1,LIMPIAR LAS PIEZAS COMPLETAMENTE (LIBRES DE TODO COMPUESTO ORGÁNICO Y CALAMINA),PD00158821
FBREP,304,PERF4,PERFORAR4,5,3.1).PERFORAR PLATO.,83094
FBREP,358,PERF4,PERFORAR4,3,3.1) PERFORAR PLATO.,30573114-3
FBREP,359,PERF4,PERFORAR4,4,3.1) PERFORAR PLATO.,6352045180
FBREP,410,PERF4,PERFORAR4,4,2.1).PERFORAR PLATO,30375034
FBREP,428,PERF4,PERFORAR4,2,3.1) PERFORAR PLATO.,PD0002355H
FBREP,428,PULI1,PULIR1,2,9.1)PULIR ARISTAS VIVAS.,PD0002355H
FBREP,462,PULI1,PULIR1,4,"ARISTAS VIVAS, SOLO SI ES NECESARIO.",R1487A
