Fecha de visita,Empresa,Planta,Pa铆s,Ciudad,Tipo de equipo,Pedido,Material,Causa de desgaste,"Si escogi贸 otros, cu谩l?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongaci贸n actual % (CADENA),Porcentaje de elongaci贸n m谩x % (CADENA),Proyecci贸n en horas de operaci贸n restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,Falla,Valor
12/05/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongaci贸n prematura;Desalineaci贸n;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,,,,,,,,,,,,,,,102,101,0.98,177.8,6,Desgaste,0.98
3/15/2022,ARGOS,SOGAMOSO,COLOMBIA,SOGAMOSO,Elevador cangilones,23311,CLINKER,Elongaci贸n prematura;Cavitaci贸n seca,,Platina Externa;Pasador cadena,CDNA FB864-K443-C2-P7,FB864,,242.3,1.68,2.2,10800,,,,,,,,,,,,,,,Elongaci髇,1.68
07/07/2023,HOLCIM,,COLOMBIA,BOYACA,Elevador cangilones,27177,,Desalineaci贸n,,Platina Externa,"CDNA FB-6830-K2-C2 P 6"" ",FB-683,152.4,152.8,0.26,2.2,32830,,,,,,,,,,,,,,,Elongaci髇,0.26
12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitaci贸n seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,,,,,,63.5,62.8,1.1,,,,,,,,,,,,Desgaste,1.1
12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
10/13/2022,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Reclamador y apilador,24775,CORRECTORES,Otros,TIEMPO DE TRABAJO,Rodillo;Platina Externa;Platina Interna,CDNA RECLAM. ADITIVOS PASO 315,FU9,,,,,,,,,,,,110,106.7,3.09,,,,,,Desgaste,3.09
12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,100,98,2,,,,,,,,,,,,Desgaste,2
5/20/2024,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,236.5,236.8,0.14,3.3,29524,,,,,,,,,,,,,,,Elongaci髇,0.14
