ConsecutivoOP,ConsecPedido,Cliente,Producto,NombProducto,OCCliente,Actividad,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,Pa铆s,Ciudad,Tipo de equipo,Pedido N掳,Material,Causa de desgaste,"Si escogi贸 otros, cu谩l?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongaci贸n actual % (CADENA),Porcentaje de elongaci贸n m谩x % (CADENA),Proyecci贸n en horas de operaci贸n restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,Falla,Valor
65433,26765,860009808,30351506C,PTNA INT 16X103X301,4530313020,CORT2,OXICORTE Y PLASMA,CORTAR,1,08/03/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongaci贸n prematura;Desalineaci贸n;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,,,,,,,,,,,,,,,102,101,0.98,177.8,6,Desgaste,0.98
54312,23311,890100251,1018018,"CDNA FB 864-K443-C2-P7""",4500529054,ENSA,PRENSA ANCLAJES,FORJADO,1,1/25/2019 0:00,FI,FBORP,3/15/2022,ARGOS,SOGAMOSO,COLOMBIA,SOGAMOSO,Elevador cangilones,23311,CLINKER,Elongaci贸n prematura;Cavitaci贸n seca,,Platina Externa;Pasador cadena,CDNA FB864-K443-C2-P7,FB864,,242.3,1.68,2.2,10800,,,,,,,,,,,,,,,Elongaci髇,1.68
66729,27177,860009808,30179097,"CDNA FB-6830-K2-C2 P 6"" ",4500556454,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,7,10/02/2021 00:00,FI,FBORP,07/07/2023,HOLCIM,,COLOMBIA,BOYACA,Elevador cangilones,27177,,Desalineaci贸n,,Platina Externa,"CDNA FB-6830-K2-C2 P 6"" ",FB-683,152.4,152.8,0.26,2.2,32830,,,,,,,,,,,,,,,Elongaci髇,0.26
67135,27380,860009808,30321162D,PTNA INT ADIT 9.5X152X349,E-MAIL 02/11/2021,ENDE,"PRENSA ANCLAJES, PLATINAS Y TROQUELADORAS",FORJADO,4,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
67133,27380,860009808,30321162B,PTNA CAB 9.5X78X349,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
68007,27587,CAP821208LQ3,PD0001788E,BUJE 脴E63.5X脴I40.75X140.5 EC,8400004593,CORT,MEGAS,CORTAR,1,01/06/2022 00:00,CE,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitaci贸n seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,,,,,,63.5,62.8,1.1,,,,,,,,,,,,Desgaste,1.1
67134,27380,860009808,30321162C,PTNA PIN 9.5X78X349,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
58950,24775,900164755,7100010-A6,RODILLO 脴E110X脴I42.7X51,4500687880,CORT,MEGAS,CORTAR,1,02/04/2020 00:00,FI,FBORP,10/13/2022,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Reclamador y apilador,24775,CORRECTORES,Otros,TIEMPO DE TRABAJO,Rodillo;Platina Externa;Platina Interna,CDNA RECLAM. ADITIVOS PASO 315,FU9,,,,,,,,,,,,110,106.7,3.09,,,,,,Desgaste,3.09
67136,27380,860009808,30321162E,BUJE 脴E50X脴I32.55X74.05 EC,E-MAIL 02/11/2021,CORT,MEGAS,CORTAR,1,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,100,98,2,,,,,,,,,,,,Desgaste,2
77790,30028,CAP821208LQ3,30607413,CDNA ELEVADOR FB AU06.3 C2 P7,8400005586,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,6,8/16/2023 0:00,FI,FBORP,5/20/2024,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,236.5,236.8,0.14,3.3,29524,,,,,,,,,,,,,,,Elongaci髇,0.14
