Nombre de la variable,Tipo,Valores,Es único,País
ConsecutivoOP,int64,"65433, 54312, 66729, 67135, 67133, 68007, 67134, 58950, 67136, 77790...",UNICO,['COLOMBIA' 'MEXICO' 'PANAMÁ']
ConsecPedido,int64,"26765, 23311, 27177, 27380, 27587, 24775, 30028, 28914, 27553, 26425...",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
Cliente,object,"860009808, 890100251, CAP821208LQ3, 900164755, 900484906, 4.31E+12, 891300241, 891401705",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
Producto,object,"30351506C, 1018018, 30179097, 30321162D, 30321162B, PD0001788E, 30321162C, 7100010-A6, 30321162E, 30607413...",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
NombProducto,object,"PTNA INT 16X103X301, CDNA FB 864-K443-C2-P7"", CDNA FB-6830-K2-C2 P 6"" , PTNA INT ADIT 9.5X152X349, PTNA CAB 9.5X78X349, BUJE ÃE63.5XÃI40.75X140.5 EC, PTNA PIN 9.5X78X349, RODILLO ÃE110XÃI42.7X51, BUJE ÃE50XÃI32.55X74.05 EC, CDNA ELEVADOR FB AU06.3 C2 P7...",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
OCCliente,object,"4530313020, 4500529054, 4500556454, E-MAIL 02/11/2021, 8400004593, 4500687880, 8400005586, 8400005086, 3300292911,,, 4530309439...",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
Actividad,object,"CORT2, ENSA, EMPA, ENDE, CORT, GRAN, CENT, ARMAR, PINA1, INSP...",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
RecMAQ,object,"OXICORTE Y PLASMA, PRENSA ANCLAJES, BANCO DE TRABAJO DESPACHO, PRENSA ANCLAJES, PLATINAS Y TROQUELADORAS, MEGAS, GRANALLADORA, PRENSA ENSAMBLES, CENTRADORAS, SOLDADORES GMAW, BANCO DE TRABAJO ENSAMBLE...",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
RecHOM,object,"CORTAR, FORJADO, PRODUCTO TERMINADO, MECANIZADO, SOLDADURA, CALIDAD,  ",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
SecAct,int64,"1, 7, 4, 6, 8, 5, 9, 2, 3",,['COLOMBIA' 'MEXICO' 'PANAMÁ']
